order_no,discount_amount,adults,booking_fee,paid_from_wallet,order_time,source,isRelease,trip_type,leg_name,commission,departure_time,bf_discount,trip_id,isCancel,net_revenue,base_id,travel_date,ff_discount,facility_fee,amount_in_usd,voucher_consumption,paid_from_card,pick_stop
775772,10.25,1,0,0,09-25-2019 23:41:46,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,0,144679,09-26-2019,0,0,10.25,0,0,Kendall Park Roller Skating Rink
775772,10.25,1,0,0,09-25-2019 23:41:46,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,144679,09-26-2019,0,0,10.25,0,0,Kendall Park Roller Skating Rink
775788,10,1,0,0,09-25-2019 23:48:51,WEB,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,1.25,319870,09-26-2019,0,0,11.25,0,1.25,Kendall Park Post Office
775870,0,1,0,0,09-26-2019 1:29:07,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,11.25,317804,09-26-2019,0,0,11.25,0,11.25,Kendall Park Roller Skating Rink
775899,0,1,0,0,09-26-2019 2:25:57,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,11.25,132168,09-26-2019,0,0,11.25,0,11.25,Stillwell Road
775916,11.25,1,0,0,09-26-2019 4:11:16,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,35988,09-26-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
775922,11.25,1,0,0,09-26-2019 5:17:21,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,1338,09-26-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
775931,0,1,0,0,09-26-2019 5:38:23,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,11.25,23475,09-26-2019,0,0,11.25,0,11.25,Kendall Park Roller Skating Rink
775932,0,1,0,0,09-26-2019 5:43:46,WEB,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,10.25,35,09-26-2019,0,0,10.25,0,10.25,Kendall Park Post Office
775932,0,1,0,0,09-26-2019 5:43:46,WEB,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,10.25,35,09-26-2019,0,0,10.25,0,10.25,Kendall Park Post Office
